LAD20CD,DateRange,Smoker_Current,Smoker_Former,Smoker_Never,Smoker_Unknown
S92000003,2008,18.69,9.26,59.05,13
S92000003,2009,18.72,10.42,60.95,9.9
S92000003,2010,19.12,11.7,62.24,6.93
S92000003,2011,19.01,12.75,63.34,4.91
S92000003,2012,18.47,12.76,64.32,4.45
S92000003,2013,17.77,12.96,65.62,3.65
S92000003,2014,16.78,12.92,67.37,2.93
S92000003,2015,15.88,12.64,69.07,2.41
S92000003,2016,14.9,11.87,70.15,3.09
S92000003,2017,14.4,11.39,70.6,3.61
