Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S01013288,Mid Calder and Kirknewton - 05,"","","","","","","","","","","","",15.79,11.11,10,36.36,54.55,42.86
http://statistics.gov.scot/id/statistical-geography/S01013289,Mid Calder and Kirknewton - 06,"","","","","","","","","","","","",0,0,0,3.57,3.23,3.45
http://statistics.gov.scot/id/statistical-geography/S01013290,Mid Calder and Kirknewton - 07,"","","","","","","","","","","","",21.43,4,3.7,3.45,3.57,0.0
http://statistics.gov.scot/id/statistical-geography/S01013291,Mid Calder and Kirknewton - 08,"","","","","","","","","","","","",16.67,15.79,7.69,11.54,15.38,18.18
http://statistics.gov.scot/id/statistical-geography/S01007564,Mid Nithsdale - 01,"","","","","","","","","","","","",25,44.44,47.06,50,43.75,40
http://statistics.gov.scot/id/statistical-geography/S01007565,Mid Nithsdale - 02,"","","","","","","","","","","","",27.78,31.58,23.81,29.41,19.05,16.67
http://statistics.gov.scot/id/statistical-geography/S01007566,Mid Nithsdale - 03,"","","","","","","","","","","","",6.67,5.56,0,5.88,10,11.11
http://statistics.gov.scot/id/statistical-geography/S01007567,Mid Nithsdale - 04,"","","","","","","","","","","","",0,0,0,0,0,0.0
http://statistics.gov.scot/id/statistical-geography/S01007568,Mid Nithsdale - 05,"","","","","","","","","","","","",23.53,21.43,20,0,11.11,8.33
http://statistics.gov.scot/id/statistical-geography/S01007569,Mid Nithsdale - 06,"","","","","","","","","","","","",13.33,11.11,6.67,11.76,9.09,8.7
http://statistics.gov.scot/id/statistical-geography/S01009353,Middlebank,"","","","","","","","","","","","",0,0,1.56,1.54,3.51,3.57
http://statistics.gov.scot/id/statistical-geography/S01006558,Midstocket - 01,"","","","","","","","","","","","",3.33,0,0,0,0,0.0
http://statistics.gov.scot/id/statistical-geography/S01006559,Midstocket - 02,"","","","","","","","","","","","",0,0,0,0,0,0.0
http://statistics.gov.scot/id/statistical-geography/S01006560,Midstocket - 03,"","","","","","","","","","","","",2.63,6.25,8.11,6.25,3.45,0.0
http://statistics.gov.scot/id/statistical-geography/S01006561,Midstocket - 04,"","","","","","","","","","","","",0,0,0,0,0,0.0
http://statistics.gov.scot/id/statistical-geography/S01006562,Midstocket - 05,"","","","","","","","","","","","",18.75,18.18,12,10.71,9.38,9.68
http://statistics.gov.scot/id/statistical-geography/S01006563,Midstocket - 06,"","","","","","","","","","","","",8.82,6.45,4.55,0,0,5.56
http://statistics.gov.scot/id/statistical-geography/S01009293,Milesmark East,"","","","","","","","","","","","",10.53,6.67,0,0,0,5.56
http://statistics.gov.scot/id/statistical-geography/S01009294,Milesmark West,"","","","","","","","","","","","",14.29,0,0,0,0,5.26
http://statistics.gov.scot/id/statistical-geography/S01011843,Milnathort and Crook of Devon - 01,"","","","","","","","","","","","",9.52,4.35,5,0,5.88,9.52
