Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S01002015,S01002015,54.55,50,28.57,12.5,5,4.35,6.25,6.25,20,20,15.79,5.56,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002016,S01002016,77.78,66.67,38.46,15.79,0,0,0,15,20,11.76,2.7,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002017,S01002017,55.56,58.97,31.71,5,0,0,2.33,24,39.29,39.62,23.81,2.63,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002018,S01002018,64.29,68.75,66.67,28.57,6.67,0,0,0,0,0,7.14,5.56,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002019,S01002019,64.29,81.82,58.33,20,0,0,0,16.67,33.33,26.92,18.52,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002020,S01002020,33.33,20,0,0,0,0,0,40,37.5,21.43,5.56,6.25,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002021,S01002021,61.29,53.85,28.57,4.55,0,9.52,10.71,10.53,8.82,6.9,4.17,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002022,S01002022,8.7,4.55,5,5,4,4,3.57,5.13,20.93,19.05,20,2.86,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002023,S01002023,63.64,60.87,30.43,13.04,5.26,0,0,8.33,45.83,33.33,24.32,2.44,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002024,S01002024,70,63.16,26.67,0,0,4.55,5.56,16.67,17.65,13.64,3.45,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002025,S01002025,44.44,50,35,20,0,7.14,16.67,16.67,27.78,18.18,16,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002026,S01002026,55.56,60,37.5,12.5,0,0,5.56,5.56,16.67,10.53,10,5,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002027,S01002027,52.94,68.75,25,16.67,0,0,0,50,52.63,36.67,6.9,3.33,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002028,S01002028,45.45,54.55,18.18,10,0,0,0,27.27,33.33,22.22,10.42,1.85,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002029,S01002029,41.67,62.5,28.57,12.5,0,0,0,11.76,20,14.71,8.11,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002030,S01002030,59.09,60,33.33,9.09,0,6.25,5.88,10.53,28,22.58,18.18,0,"","","","","",""
