Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,6.41,7.03,8.09,9.01,9.46,8.63,7.34,6.08,6.43,6.95,7.51,7.69,9.3,11.76,13.17,12.43,8.88,5.84
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,6.25,6.44,5.48,4.23,3.12,2.1,2.75,5.03,4.85,3.5,0.63,1.23,3.31,4.81,6.24,5.67,4.97,3.78
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,9.38,8.61,5.58,4.14,3.49,4.93,5.31,6.05,5.29,6.07,6.79,9.75,10.75,12.96,12.59,11.68,8.04,5.11
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,6.33,7.04,7.46,7.55,7.94,7.78,8.14,9.38,9.77,13.97,17.73,23.47,23.09,22.55,21.81,22.26,22.64,22.84
http://statistics.gov.scot/id/statistical-geography/S16000074,Aberdeen Central,10.3,9.63,8.02,7.18,6.76,6.98,6.91,8.3,10.32,12.3,11.33,9.86,9.37,9.93,10.13,8.64,9.37,13.16
http://statistics.gov.scot/id/statistical-geography/S16000075,Aberdeen Donside,9.74,9.08,8.2,8.01,6.86,7.25,6.55,9.04,11.06,13.31,12.7,11.87,11.41,11.37,10.57,9.79,10.85,15.9
http://statistics.gov.scot/id/statistical-geography/S16000076,Aberdeen South and North Kincardine,9.29,9.11,7.51,6.82,5.82,6.29,6.64,9.54,12.08,13.93,12.85,11.24,10.23,10.24,9.68,7.91,7.93,12.18
http://statistics.gov.scot/id/statistical-geography/S16000077,Aberdeenshire East,9.24,8.28,6.71,6.62,6.47,6.38,7.21,10.88,14.09,15.93,13.97,12.74,11.26,10.77,10.52,10.03,10.91,14.89
http://statistics.gov.scot/id/statistical-geography/S16000078,Aberdeenshire West,7.85,7.84,7.41,7.29,7.43,8.21,8.64,9.99,12.35,14.39,14.32,13.08,10.73,10.22,8.24,8.01,8.44,13.3
http://statistics.gov.scot/id/statistical-geography/S16000079,Airdrie and Shotts,4.51,6.06,6.93,7.14,8.02,8.22,8.65,8.24,8.49,8.48,8.25,7.8,8.61,9.5,10.55,9.44,7.25,5.4
http://statistics.gov.scot/id/statistical-geography/S16000080,Almond Valley,6.11,7.06,7.45,7.23,7.22,6.97,7.76,9.46,9.97,14.39,17.91,24.26,23.97,23.61,22.54,22.52,22.8,23.59
http://statistics.gov.scot/id/statistical-geography/S16000081,Angus North and Mearns,16.12,16.68,16.27,16.03,14.24,14.77,14.77,15.31,15.44,15.34,15.08,14.1,12.16,11.32,10.57,10.39,10.63,11.3
http://statistics.gov.scot/id/statistical-geography/S16000082,Angus South,20.78,21.89,23.33,21.33,17.75,15,14.69,13.77,12.86,12.09,12.04,11.98,10.34,10.5,9.53,10.07,9.87,10.26
http://statistics.gov.scot/id/statistical-geography/S16000083,Argyll and Bute,10.34,11.27,10.52,11.25,11.08,12.18,12.93,14.06,13.17,12.19,12.44,14.63,14.49,14.26,14.08,13.13,10.83,6.55
http://statistics.gov.scot/id/statistical-geography/S16000084,Ayr,13.58,14.52,18.08,21.23,22.19,22.74,22.36,20.47,15.85,13.79,12.72,14.09,14.09,17.39,19.44,21.11,20.4,21.97
http://statistics.gov.scot/id/statistical-geography/S16000085,Banffshire and Buchan Coast,7.51,7.87,7.25,7.77,7.12,7.28,8.26,10.84,12.87,13.57,12.19,10.9,10.46,11.53,12.38,12.11,12.83,15.74
http://statistics.gov.scot/id/statistical-geography/S16000086,"Caithness, Sutherland and Ross",8.87,10.2,10.48,11.57,11.65,13.28,14.43,16.43,17.03,16.96,17.06,16.95,16.06,15.04,14.1,13.62,12.69,12.02
