Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S16000084,Ayr,3,6,11,11,9,7,15,23,33,65,73,63,29,16,19,16,13,10
http://statistics.gov.scot/id/statistical-geography/S16000085,Banffshire and Buchan Coast,86,91,147,147,131,69,61,60,57,52,44,37,31,23,22,24,22,18
http://statistics.gov.scot/id/statistical-geography/S16000086,"Caithness, Sutherland and Ross",698,707,590,437,298,176,145,96,79,56,51,60,73,59,42,21,23,25
http://statistics.gov.scot/id/statistical-geography/S16000087,"Carrick, Cumnock and Doon Valley",3,5,11,13,16,12,16,23,41,90,91,79,28,21,17,13,7,7
http://statistics.gov.scot/id/statistical-geography/S16000088,Clackmannanshire and Dunblane,26,22,37,62,91,96,134,229,208,141,14,18,33,35,30,16,39,41
http://statistics.gov.scot/id/statistical-geography/S16000089,Clydebank and Milngavie,12,32,76,127,145,139,137,140,162,149,130,100,73,69,48,41,91,123
http://statistics.gov.scot/id/statistical-geography/S16000090,Clydesdale,77,63,44,48,45,51,92,148,163,146,102,81,74,91,116,134,142,149
http://statistics.gov.scot/id/statistical-geography/S16000091,Coatbridge and Chryston,96,136,256,377,484,656,880,1058,794,471,231,252,254,198,170,167,184,158
http://statistics.gov.scot/id/statistical-geography/S16000092,Cowdenbeath,66,59,50,45,40,23,16,19,29,29,31,27,33,42,54,67,57,36
http://statistics.gov.scot/id/statistical-geography/S16000093,Cumbernauld and Kilsyth,130,238,470,696,855,1153,1439,1662,1390,1138,1038,1026,773,439,206,168,204,190
http://statistics.gov.scot/id/statistical-geography/S16000094,Cunninghame North,10,14,13,17,18,20,24,28,29,40,42,41,22,19,31,29,26,11
http://statistics.gov.scot/id/statistical-geography/S16000095,Cunninghame South,6,7,8,7,12,12,22,22,28,51,52,46,16,11,12,10,10,10
http://statistics.gov.scot/id/statistical-geography/S16000096,Dumbarton,16,236,797,1029,903,405,238,217,228,170,103,67,78,96,68,54,51,51
http://statistics.gov.scot/id/statistical-geography/S16000097,Dumfriesshire,22,20,113,123,130,97,112,127,99,76,58,37,44,39,30,19,18,32
http://statistics.gov.scot/id/statistical-geography/S16000098,Dundee City East,26,25,40,189,523,764,728,399,144,33,37,39,42,39,33,26,101,295
http://statistics.gov.scot/id/statistical-geography/S16000099,Dundee City West,20,17,25,185,523,721,701,371,169,35,36,39,49,45,40,35,100,320
http://statistics.gov.scot/id/statistical-geography/S16000100,Dunfermline,58,51,41,40,46,41,35,32,38,40,41,36,37,41,55,68,63,46
http://statistics.gov.scot/id/statistical-geography/S16000101,East Kilbride,25,38,71,80,106,198,333,411,309,190,101,103,94,80,66,51,72,78
http://statistics.gov.scot/id/statistical-geography/S16000102,East Lothian,987,883,405,84,25,32,58,234,403,392,233,64,50,38,32,28,24,19
http://statistics.gov.scot/id/statistical-geography/S16000103,Eastwood,23,31,54,79,97,118,181,184,148,85,74,85,67,59,51,43,77,96
http://statistics.gov.scot/id/statistical-geography/S16000104,Edinburgh Central,1013,978,533,190,33,36,80,361,806,781,512,55,35,16,9,9,10,9
http://statistics.gov.scot/id/statistical-geography/S16000105,Edinburgh Eastern,1549,1414,683,201,43,68,92,395,747,732,432,42,31,23,23,16,13,10
http://statistics.gov.scot/id/statistical-geography/S16000106,Edinburgh Northern and Leith,1223,1133,530,146,42,42,91,477,941,910,527,44,24,20,21,21,19,17
http://statistics.gov.scot/id/statistical-geography/S16000107,Edinburgh Pentlands,1154,1027,547,226,34,57,87,263,517,490,307,26,21,17,15,11,9,11
http://statistics.gov.scot/id/statistical-geography/S16000108,Edinburgh Southern,999,994,511,213,44,63,95,303,629,591,375,25,23,15,15,10,8,4
http://statistics.gov.scot/id/statistical-geography/S16000109,Edinburgh Western,896,856,465,167,45,46,74,212,472,441,303,31,25,13,9,8,6,7
http://statistics.gov.scot/id/statistical-geography/S16000111,"Ettrick, Roxburgh and Berwickshire",69,61,50,30,55,66,71,67,77,87,116,230,345,370,292,215,185,129
http://statistics.gov.scot/id/statistical-geography/S16000112,Falkirk East,64,65,78,94,93,89,110,239,270,290,176,137,108,82,79,55,99,93
http://statistics.gov.scot/id/statistical-geography/S16000113,Falkirk West,46,57,80,101,106,108,166,333,311,228,38,34,41,41,38,35,70,63
http://statistics.gov.scot/id/statistical-geography/S16000114,Galloway and West Dumfries,46,31,144,153,171,131,151,177,119,97,58,46,39,42,37,26,24,44
http://statistics.gov.scot/id/statistical-geography/S16000115,Glasgow Anniesland,21,22,55,119,170,192,208,216,276,267,255,188,135,103,73,66,133,149
http://statistics.gov.scot/id/statistical-geography/S16000116,Glasgow Cathcart,54,71,114,162,225,393,638,770,589,362,245,284,236,166,106,80,141,164
http://statistics.gov.scot/id/statistical-geography/S16000117,Glasgow Kelvin,25,41,81,138,187,239,303,324,343,353,398,410,320,214,112,90,123,137
http://statistics.gov.scot/id/statistical-geography/S16000118,Glasgow Maryhill and Springburn,180,178,324,498,732,1035,1396,1532,1213,858,715,741,577,350,201,146,182,182
http://statistics.gov.scot/id/statistical-geography/S16000119,Glasgow Pollok,31,29,44,64,77,91,141,155,146,101,93,96,77,69,66,60,121,151
http://statistics.gov.scot/id/statistical-geography/S16000147,Glasgow Provan,215,243,370,522,772,1165,1745,2019,1573,923,509,515,453,314,229,186,201,189
http://statistics.gov.scot/id/statistical-geography/S16000121,Glasgow Shettleston,148,213,354,483,669,1028,1506,1828,1388,831,445,498,451,296,191,158,198,196
http://statistics.gov.scot/id/statistical-geography/S16000122,Glasgow Southside,72,95,153,231,319,414,584,659,540,382,296,337,254,183,106,102,151,182
http://statistics.gov.scot/id/statistical-geography/S16000123,Greenock and Inverclyde,41,49,44,59,61,76,80,91,95,109,87,59,30,41,63,63,60,42
http://statistics.gov.scot/id/statistical-geography/S16000124,"Hamilton, Larkhall and Stonehouse",28,29,57,63,77,79,161,205,187,106,50,49,58,64,68,67,63,54
http://statistics.gov.scot/id/statistical-geography/S16000125,Inverness and Nairn,1395,1449,1149,722,279,65,63,58,60,36,25,16,29,43,44,35,32,27
http://statistics.gov.scot/id/statistical-geography/S16000126,Kilmarnock and Irvine Valley,5,8,8,10,7,8,26,36,52,89,104,90,37,15,14,15,17,17
