Reference, Area, 1999/00-2001/02,2000/01-2002/03,2001/02-2003/04,2002/03-2004/05,2003/04-2005/06,2004/05-2006/07,2005/06-2007/08,2006/07-2008/09,2007/08-2009/10,2008/09-2010/11,2009/10-2011/12,2010/11-2012/13,2011/12-2013/14,2012/13-2014/15,2013/14-2015/16,2014/15-2016/17,2015/16-2017/18,2016/17-2018/19
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,16.93,16.91,17.35,17.13,17.68,17.61,17.64,17.17,17.11,15.99,14.85,12.98,11.22,10.2,9.79,9.8,7.8,6.08
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,14.15,13.92,14.2,14.23,13.63,12.98,12.79,12.87,12.27,10.98,10.29,9.93,9.99,9.04,8.38,7.71,7.17,6.37
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,12.94,12.96,11.93,11.66,12.14,11.42,11.29,9.3,9.53,10.4,10.38,10.19,9.09,8.8,8.22,6.69,5.16,4.61
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,20.13,20.15,19.09,17.95,18.53,18.18,17.16,16.27,14.99,16.01,15.41,14.41,12.85,11.93,11.29,9.84,8.64,8.55
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,16.91,16.39,16.42,16.43,15.22,13.76,14.09,13.39,11.9,10.53,10.67,12.24,12.24,10.63,9.95,7.71,7.05,6.2
http://statistics.gov.scot/id/statistical-geography/S16000074,Aberdeen Central,12.69,12.2,10.96,10.84,9.66,9.52,8.98,7.47,6.23,5.26,5.23,4.61,4.02,3.63,3.35,3.12,3.74,3.76
http://statistics.gov.scot/id/statistical-geography/S16000075,Aberdeen Donside,15.52,16.93,17.76,16.63,16.8,15.23,15.93,14.09,12.83,10.99,10.86,11.26,10.75,9.1,7.08,6.3,5.79,5.55
http://statistics.gov.scot/id/statistical-geography/S16000076,Aberdeen South and North Kincardine,11.48,12.66,12.41,11.12,10.33,10.28,10.46,9.6,9.01,8.13,7.67,7.12,6.72,5.87,5.39,4.37,4.27,3.4
http://statistics.gov.scot/id/statistical-geography/S16000077,Aberdeenshire East,7.43,6.51,6.67,7.43,7.93,8.13,7.78,7.25,6.79,6.29,7.06,7.22,7.73,5.89,4.7,3.26,2.97,3.73
http://statistics.gov.scot/id/statistical-geography/S16000078,Aberdeenshire West,5.5,5.61,5.02,4.9,4.55,4.28,3.86,3.6,4.56,4.75,5.31,5.59,4.96,4.47,2.89,3.67,3.53,3.23
http://statistics.gov.scot/id/statistical-geography/S16000079,Airdrie and Shotts,20.43,20.33,20.6,19.65,18.36,17.73,16.42,17.52,16.7,16.5,14.22,13.13,13.34,13.59,12.33,10.67,8.94,8.98
http://statistics.gov.scot/id/statistical-geography/S16000080,Almond Valley,17.26,17.3,17.5,17.53,16.05,15.39,15.68,16.08,14.01,12.32,11.3,13.17,12.94,10.98,10.03,7.43,6.71,5.55
http://statistics.gov.scot/id/statistical-geography/S16000081,Angus North and Mearns,13.84,13.24,13.03,13.57,12.95,11.7,11.73,11.95,13.81,12.18,12.55,11.34,10.79,9.32,8.09,7.17,6.76,7.15
http://statistics.gov.scot/id/statistical-geography/S16000082,Angus South,18.02,16.86,15.69,11.96,10.22,8.5,11.02,12.41,14.26,13.41,12.54,12.33,10.46,9.15,6.98,7.24,7.03,7.99
http://statistics.gov.scot/id/statistical-geography/S16000083,Argyll and Bute,15.96,14.44,14.67,15.07,14.47,15.56,14.65,16.69,15.55,13.9,11.54,10.55,11.48,9.82,8.7,6.82,6.69,6.79
http://statistics.gov.scot/id/statistical-geography/S16000084,Ayr,16.37,16.06,16.33,16.7,17.24,17.47,16.88,16.62,15.96,15.35,14.48,12.74,10.11,8.73,9.09,9.44,7.69,6.03
http://statistics.gov.scot/id/statistical-geography/S16000085,Banffshire and Buchan Coast,15.67,14.42,14.8,16.34,15.6,16.06,14.69,16.45,15.63,15.82,14.44,13.3,13.61,11.92,11.14,9.62,9.8,7.92
http://statistics.gov.scot/id/statistical-geography/S16000086,"Caithness, Sutherland and Ross",20.64,20.72,19.82,19.39,19.18,19.24,17.51,16.92,17.25,18.74,18.99,17.38,15.89,14.32,12.85,11.75,11.2,11.2
http://statistics.gov.scot/id/statistical-geography/S16000087,"Carrick, Cumnock and Doon Valley",23.47,22.65,22,21.02,20.6,20.42,20.9,19.22,19.47,18.28,18.02,16.53,14.76,13.79,11.67,12.54,10.6,9.74
http://statistics.gov.scot/id/statistical-geography/S16000088,Clackmannanshire and Dunblane,18.36,17.65,17.51,15.81,15.49,13.57,15.22,16.01,17.45,16.34,14.37,13.5,13.46,13.41,11.62,9.69,8.09,7.24
http://statistics.gov.scot/id/statistical-geography/S16000089,Clydebank and Milngavie,14.95,15.55,15.33,16.18,18.12,16.48,15.99,14.47,12.97,12.65,12.96,11.65,11.1,10.01,9.89,8.24,6.8,6.83
http://statistics.gov.scot/id/statistical-geography/S16000090,Clydesdale,11.42,11.64,12.74,13.08,13.14,12.64,12.57,11.61,12.1,10.73,10.64,10.35,11.73,10.55,9.81,8.14,7.89,6.73
http://statistics.gov.scot/id/statistical-geography/S16000091,Coatbridge and Chryston,16.05,17.14,17.07,16.8,15.58,14.77,15.08,15.03,13.73,12.67,11.78,11.66,10.35,9.96,8.92,8.37,6.37,6.87
http://statistics.gov.scot/id/statistical-geography/S16000092,Cowdenbeath,18.83,19.61,18.55,17.87,17.56,16.45,17.37,16.13,17.05,16.05,17.33,16.81,15.44,12.48,11.47,11.29,12,10.92
http://statistics.gov.scot/id/statistical-geography/S16000093,Cumbernauld and Kilsyth,13.41,12.03,11.55,11.22,12.17,13.44,15.3,14.95,15.16,13.53,11.94,11.61,10.75,11.39,10.37,9.95,9.5,8.59
http://statistics.gov.scot/id/statistical-geography/S16000094,Cunninghame North,20.22,21.31,20.4,19.32,16.38,18.49,17.49,17.04,15.17,17.33,17.38,16.11,14.21,13.42,13.27,11.14,11.28,11.64
http://statistics.gov.scot/id/statistical-geography/S16000095,Cunninghame South,21.96,21.5,19.68,20.27,19.72,21.54,22,22.51,21.96,22.62,20.09,18.68,15.5,13.44,13.68,12.27,13.7,12.96
http://statistics.gov.scot/id/statistical-geography/S16000096,Dumbarton,16.77,16.46,15.84,14.38,14.81,14.95,15.12,14.49,14.16,14.95,13.84,13.29,11.05,10.17,9.2,8.97,7.67,7.17
http://statistics.gov.scot/id/statistical-geography/S16000097,Dumfriesshire,16.79,15.93,13.76,13.12,13.5,14.73,15.08,16.22,16.04,15.51,12.5,11.92,11.74,12.56,10.61,10.1,8.55,7.31
http://statistics.gov.scot/id/statistical-geography/S16000098,Dundee City East,25.58,25.3,25.1,22.04,18.34,16.18,15.89,17.32,18.36,18.96,16.95,15.39,13.3,13.46,12.02,11.69,11.17,11.45
http://statistics.gov.scot/id/statistical-geography/S16000099,Dundee City West,25.03,24.68,23.71,20.09,16.77,16.66,15.81,18.52,16.89,17.15,14.15,13.09,13.1,12.38,12.07,12.13,13.21,12.26
http://statistics.gov.scot/id/statistical-geography/S16000100,Dunfermline,16.55,17.04,14.54,13.72,11.12,11.15,9.95,10.78,11.51,12.28,12.04,10.41,9.14,8.73,8.93,8.74,6.9,5.81
http://statistics.gov.scot/id/statistical-geography/S16000101,East Kilbride,12.02,12.51,13.52,13.52,12.82,13.2,14.16,15.34,13.04,10.15,8.94,9.01,8.53,7.43,6.44,6.46,5.77,5.35
http://statistics.gov.scot/id/statistical-geography/S16000102,East Lothian,14.49,14.07,12.73,10.81,11.82,13.65,13.57,12.34,10.27,10.49,11.46,12.88,12.37,10.13,9.19,8.31,8.96,9.5
http://statistics.gov.scot/id/statistical-geography/S16000103,Eastwood,2.85,2.89,2.85,3.08,3.65,4.1,4.19,3.89,3.58,3.13,2.82,2.71,2.46,1.61,1.12,1.01,1.15,0.73
http://statistics.gov.scot/id/statistical-geography/S16000104,Edinburgh Central,4.61,4.6,3.87,3.62,3.71,4.04,3.53,4.16,3.46,3.4,2.45,2.62,2.37,1.97,1.71,1.72,1.67,1.68
http://statistics.gov.scot/id/statistical-geography/S16000105,Edinburgh Eastern,18.52,16.91,16.81,16.49,17.05,16.15,14.67,13.13,11.75,11.21,9.89,8.78,8.01,7.85,8.54,7.68,6.63,5.38
http://statistics.gov.scot/id/statistical-geography/S16000106,Edinburgh Northern and Leith,13.86,12.76,11.6,10.43,9.84,8.23,7.16,6.61,5.68,5.19,4.31,4.67,4.81,4.26,4.35,3.73,3.97,3.46
http://statistics.gov.scot/id/statistical-geography/S16000107,Edinburgh Pentlands,19.29,17.86,17.25,16.47,15.56,15.92,14.37,13.22,11.08,10.27,9.5,11.83,12.67,11.5,8.22,6.32,6.54,5.97
http://statistics.gov.scot/id/statistical-geography/S16000108,Edinburgh Southern,4.75,4.04,3.05,2.53,3.44,3.78,4.41,3.83,3.48,2.45,2.36,2.24,2.69,2.41,2.06,1.47,1.72,1.8
http://statistics.gov.scot/id/statistical-geography/S16000109,Edinburgh Western,13.31,11.75,11.61,10.62,12.54,12.75,12.25,9.57,8.24,7.92,8.49,8.89,7.17,6.14,5.35,4.92,5.51,4
http://statistics.gov.scot/id/statistical-geography/S16000111,"Ettrick, Roxburgh and Berwickshire",14.49,14.18,14.67,15.01,15.36,14.44,15.12,13.82,14.01,12.06,13.27,12.21,11.33,9.47,8.71,9.42,7.58,7.22
http://statistics.gov.scot/id/statistical-geography/S16000112,Falkirk East,14.38,15.04,15.57,15.61,13.61,13.21,13.16,14.1,12.8,11.84,10.86,11.46,10.76,10.02,7.57,7.01,5.45,5.46
http://statistics.gov.scot/id/statistical-geography/S16000113,Falkirk West,15.69,14.81,13.87,13.63,13.36,14.75,14.43,14.94,14.64,14.86,12.17,11.25,9.26,9.39,8.58,8.5,7.88,6.83
http://statistics.gov.scot/id/statistical-geography/S16000114,Galloway and West Dumfries,25.41,23.68,22.74,20.64,22.71,21.63,21.27,19.83,18.53,18.02,15.66,15.81,14.06,14.38,12.33,12.71,10.77,9.81
http://statistics.gov.scot/id/statistical-geography/S16000115,Glasgow Anniesland,21.3,20.75,18.24,19.56,20.67,20.81,17.67,16.85,14.25,14.42,12.19,11.07,9.35,8.63,8.03,6.75,6.9,6.51
http://statistics.gov.scot/id/statistical-geography/S16000116,Glasgow Cathcart,17.01,16.15,14.92,13.75,14.1,13.4,11.55,9.77,9.12,9.17,8.44,7.77,6.62,6.4,5.96,5.81,5.31,5.39
http://statistics.gov.scot/id/statistical-geography/S16000117,Glasgow Kelvin,8.05,7.59,6.82,7.6,7.84,7.81,6.39,5.65,4.95,5.22,4.42,3.96,2.93,2.58,1.82,1.66,1.4,1.63
http://statistics.gov.scot/id/statistical-geography/S16000118,Glasgow Maryhill and Springburn,24.08,23.96,22.73,22.04,21.28,21.4,19.16,18.12,16.48,15.49,13.87,12.29,11.22,10.39,9.4,7.94,7.23,6.86
